,id,movieid,filmtype
347,348,10577869,爱情
348,349,10577869,奇幻
349,350,1297052,剧情
350,351,1297052,爱情
351,352,1297052,动画
352,353,1395091,动画
353,354,1395091,惊悚
354,355,1395091,奇幻
355,356,1309055,悬疑
356,357,1309055,奇幻
357,358,1309055,冒险
358,359,2353023,动画
359,360,2353023,奇幻
360,361,2353023,冒险
361,362,1292274,剧情
362,363,1292274,喜剧
363,364,1292274,爱情
364,365,26628357,剧情
365,366,25814707,剧情
366,367,1294240,剧情
367,368,1294240,犯罪
368,369,1291579,喜剧
369,370,1291579,动画
370,371,1291579,儿童
371,372,1291579,奇幻
372,373,1291579,冒险
373,374,1858711,喜剧
374,375,1858711,动画
375,376,1858711,奇幻
376,377,1858711,冒险
377,378,1418200,剧情
378,379,1418200,爱情
379,380,10437779,剧情
380,381,10437779,犯罪
381,382,5989818,剧情
382,383,5989818,爱情
383,384,5989818,动画
384,385,5989818,奇幻
385,386,25986180,动作
386,387,25986180,惊悚
387,388,25986180,灾难
388,389,6307447,剧情
389,390,6307447,动作
390,391,6307447,西部
391,392,6307447,冒险
392,393,1461403,剧情
393,394,1461403,历史
394,395,3287562,喜剧
395,396,3287562,动画
396,397,3287562,冒险
397,398,4268598,剧情
398,399,4268598,悬疑
399,400,3072124,剧情
400,401,3072124,喜剧
401,402,3072124,动画
402,403,1307315,动画
403,404,1307315,奇幻
404,405,1307315,冒险
405,406,1828115,剧情
406,407,1828115,爱情
407,408,1828115,情色
408,409,1291545,剧情
409,410,1291545,家庭
410,411,1291545,奇幻
411,412,1291545,冒险
412,413,1297518,剧情
413,414,1297518,喜剧
414,415,1297518,古装
415,416,1303037,剧情
416,417,1303037,喜剧
417,418,1303037,爱情
418,419,1303037,同性
419,420,1303037,家庭
420,421,10463953,剧情
421,422,10463953,同性
422,423,10463953,传记
423,424,10463953,战争
424,425,4920389,动作
425,426,4920389,科幻
426,427,4920389,冒险
427,428,1316510,喜剧
428,429,1316510,奇幻
429,430,1316510,武侠
430,431,1316510,古装
431,432,1291557,剧情
432,433,1291557,爱情
433,434,10533913,喜剧
434,435,10533913,动画
435,436,10533913,冒险
436,437,1306861,剧情
437,438,1306861,家庭
438,439,4917726,剧情
439,440,4917726,喜剧
440,441,1295399,剧情
441,442,1295399,动作
442,443,1295399,冒险
443,444,26325320,剧情
444,445,26325320,传记
445,446,26325320,历史
446,447,26325320,战争
447,448,21360417,剧情
448,449,21360417,悬疑
449,450,21360417,犯罪
450,451,1293181,悬疑
451,452,1293181,惊悚
452,453,1293181,恐怖
453,454,1302467,动作
454,455,1302467,科幻
455,456,26683290,剧情
456,457,26683290,爱情
457,458,26683290,动画
458,459,1417598,悬疑
459,460,1417598,惊悚
460,461,1417598,恐怖
461,462,26611804,剧情
462,463,26611804,犯罪
463,464,1793929,剧情
464,465,1793929,同性
465,466,1793929,传记
466,467,25917973,剧情
467,468,25917973,悬疑
468,469,25917973,犯罪
469,470,1907966,喜剧
470,471,1907966,动画
471,472,1907966,冒险
472,473,1578507,动作
473,474,1578507,悬疑
474,475,1578507,惊悚
475,476,1297574,剧情
476,477,1297574,动作
477,478,1297574,犯罪
478,479,1292208,剧情
479,480,1292208,犯罪
480,481,1291585,动画
481,482,1291585,奇幻
482,483,1291585,冒险
483,484,1295409,剧情
484,485,1295409,喜剧
485,486,1295409,动作
486,487,1295409,犯罪
487,488,10808442,剧情
488,489,10808442,爱情
489,490,25895901,剧情
490,491,25895901,家庭
491,492,1291822,剧情
492,493,1291822,传记
493,494,1291822,历史
494,495,1291822,战争
495,496,1300374,剧情
496,497,1300374,悬疑
497,498,1300374,犯罪
498,499,1300374,奇幻
499,500,27119724,剧情
500,501,27119724,惊悚
501,502,27119724,犯罪
502,503,1304447,剧情
503,504,1304447,悬疑
504,505,1304447,惊悚
505,506,1304447,犯罪
506,507,1307856,剧情
507,508,1862151,喜剧
508,509,1862151,犯罪
509,510,24733428,动画
510,511,24733428,音乐
511,512,24733428,奇幻
512,513,1293460,喜剧
513,514,1293460,爱情
514,515,1293460,歌舞
515,516,1292226,科幻
516,517,1292226,惊悚
517,518,1292226,冒险
518,519,3792799,剧情
519,520,3792799,家庭
520,521,1307106,剧情
521,522,1307106,惊悚
522,523,1307106,犯罪
523,524,1959195,剧情
524,525,24750126,剧情
525,526,24750126,喜剧
526,527,24750126,犯罪
527,528,27622447,剧情
528,529,27622447,家庭
529,530,27622447,犯罪
530,531,6534248,喜剧
531,532,6534248,动画
532,533,6534248,奇幻
533,534,6534248,冒险
534,535,25773932,剧情
535,536,25773932,音乐
536,537,1291578,喜剧
537,538,1291578,动画
538,539,1291578,冒险
539,540,3011051,剧情
540,541,3011051,悬疑
541,542,3011051,惊悚
542,543,2209573,剧情
543,544,2209573,爱情
544,545,1292329,剧情
545,546,1292329,犯罪
